173612370,14,16,335,381.375,undefined,undefined,undefined,undefined,undefined,0,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
226487180,25,5,1747.04,1381.4,2,2,-2,-2,5,-5,-5,5,5,5,1,1,-1,-1,5,-1,-1,1,1,5,undefined
598840661,29,1,6499.482758620689,3189,2,2,-1,1,4,-2,0,0,2,4,-4,-4,2,2,4,-3,-4,4,4,4,undefined
142774808,30,0,3070.3333333333335,NaN,0,-1,0,1,2,1,-1,-1,0,2,0,-1,0,1,-1,-1,-2,1,2,2,undefined
994501782,28,2,1904.2142857142857,2710,-5,-5,5,5,-3,2,2,-2,-2,0,-5,-5,3,5,-3,-2,-2,2,5,-2,undefined
688975790,29,1,2308.3793103448274,10276,-1,-3,3,4,-5,-5,-5,3,3,-5,2,3,-2,-1,-5,-2,-2,-1,-1,-5,undefined
860621477,30,0,2113.9,NaN,0,1,-1,1,2,-1,-2,-2,-1,1,3,2,0,0,2,0,1,-1,2,1,undefined
332342975,30,0,1427.7333333333333,NaN,2,1,-3,0,4,-4,-2,0,2,4,2,2,-3,-2,4,-4,-4,1,3,4,undefined
538336372,30,0,2428.4333333333334,NaN,1,1,0,0,4,2,0,undefined,0,2,2,-1,0,1,3,-2,-4,2,3,3,undefined
491818239,30,0,1562.6,NaN,-3,-3,-2,1,-3,5,4,-4,-3,3,2,4,-2,0,3,3,3,1,2,2,undefined
947664318,29,1,2863.5862068965516,1828,5,undefined,5,5,5,5,5,-5,5,5,5,3,-2,5,5,5,4,-4,5,5,undefined
297133920,27,3,2022.0740740740741,4100.333333333333,4,3,2,3,3,1,-2,3,5,2,-3,-2,3,4,0,4,2,4,4,3,undefined
324290237,29,1,1669.7241379310344,574,2,1,-1,1,0,-2,0,2,1,0,-2,3,0,-1,1,0,2,1,0,2,0
960846956,28,2,2671.8214285714284,10034.5,2,1,1,2,0,3,3,0,0,1,0,1,1,2,0,2,1,1,2,1,undefined
