602979687,1,D,1,10089,1,D,0,9006,1,D,2,5000,1,D,-2,5111,1,D,undefined,4360,5,A,-2,7391,5,A,-2,3991,5,A,3,7017,5,A,-2,2752,7,C,3,8913,7,C,1,1951,7,C,1,4440,7,C,-2,4808,4,B,1,23207,4,B,1,4600,4,B,2,3090,4,B,-2,3614,1,D,-2,7969,5,A,-2,3487,7,C,2,2480,4,B,0,2639,m,28,Asian,10,1,6,2
194909247,8,C,2,5879,8,C,1,6087,8,C,3,6952,8,C,-5,3960,8,C,undefined,3344,7,D,2,5832,7,D,2,2352,7,D,3,1872,7,D,-5,1967,3,A,-1,5347,3,A,-1,3748,3,A,3,2855,3,A,-5,1614,1,B,1,3488,1,B,1,2022,1,B,3,1648,1,B,-5,2007,8,C,-5,2712,7,D,-5,3215,3,A,-5,1935,1,B,-5,1943,f,37,White,9,4,4,1
787107200,3,C,-1,5926,3,C,-4,7111,3,C,3,6903,3,C,-4,5730,3,C,undefined,2650,6,B,4,7961,6,B,3,7039,6,B,-3,6204,6,B,-2,4009,2,A,4,5103,2,A,3,3198,2,A,-2,6223,2,A,-3,4424,8,D,5,4185,8,D,3,3900,8,D,-5,8842,8,D,-5,3494,3,C,5,4601,6,B,5,3378,2,A,5,2722,8,D,5,3019,f,35,caribbean latino,7,2,4,4
120820000,6,B,-3,12112,6,B,-4,13200,6,B,2,4546,6,B,-2,12029,6,B,undefined,4217,3,D,-3,9680,3,D,-5,4982,3,D,3,4430,3,D,-4,2851,2,C,-2,7381,2,C,-3,3615,2,C,1,2482,2,C,-1,3550,4,A,-2,14394,4,A,-1,4864,4,A,1,2550,4,A,-1,3217,6,B,1,5612,3,D,-1,4201,2,C,2,4815,4,A,-1,2898,f,33,Asian,0,1,4,2
583770405,8,A,2,8084,8,A,1,8299,8,A,1,6232,8,A,0,9832,8,A,undefined,4285,1,B,2,11466,1,B,2,6050,1,B,-2,6802,1,B,-2,4682,6,C,-1,9134,6,C,-1,2583,6,C,undefined,2651,6,C,-1,4650,0,D,-1,11151,0,D,-1,1746,0,D,-1,3436,0,D,-1,1665,8,A,-4,4316,1,B,-4,2301,6,C,-4,2067,0,D,-4,3182,m,42,White,5,4,2,6
303846016,3,D,-4,30625,3,D,-4,12329,3,D,-2,13950,3,D,-3,8383,3,D,undefined,8753,8,A,-2,7269,8,A,-2,8057,8,A,-2,5751,8,A,-4,6869,4,C,3,8996,4,C,3,23044,4,C,3,10440,4,C,0,9722,1,B,3,12565,1,B,3,7662,1,B,-3,10025,1,B,-3,6152,3,D,-5,8248,8,A,3,6966,4,C,-5,3920,1,B,3,3738,m,35,White,6,3,6,4
405382854,8,C,3,21545,8,C,-5,10237,8,C,5,10041,8,C,-5,10656,8,C,undefined,5351,3,A,-3,37386,3,A,-5,12804,3,A,5,7066,3,A,-5,8088,7,B,undefined,18227,7,B,4,17985,7,B,-5,30819,7,B,5,6870,4,D,4,17906,4,D,3,22048,4,D,3,8163,4,D,5,5219,8,C,-5,8563,3,A,3,6803,7,B,4,5192,4,D,5,3823,f,26,MULTIRACIAL,6,1,2,2
269591534,7,B,3,36858,7,B,0,34062,7,B,4,15628,7,B,3,17816,7,B,undefined,7101,8,D,0,27158,8,D,0,27507,8,D,3,11483,8,D,2,11119,1,C,4,14292,1,C,0,17262,1,C,2,11751,1,C,2,6921,5,A,4,10626,5,A,1,13558,5,A,3,16979,5,A,2,9177,7,B,5,12873,8,D,5,4924,1,C,5,5418,5,A,5,3923,f,50,white,4,2,1,2
282456600,7,D,-2,11490,7,D,1,6706,7,D,0,4419,7,D,-3,4808,7,D,undefined,4675,0,C,-4,3764,0,C,-4,2972,0,C,2,13193,0,C,-3,6750,1,B,3,12091,1,B,3,3552,1,B,0,6004,1,B,-1,3376,3,A,-3,6983,3,A,-3,2608,3,A,3,5859,3,A,-3,4059,7,D,2,5203,0,C,-4,3931,1,B,3,2379,3,A,-3,2796,m,45,white,10,4,6,4
504560618,5,B,1,8700,5,B,0,7371,5,B,-1,6866,5,B,0,7084,5,B,undefined,5480,3,A,1,6082,3,A,-1,4782,3,A,0,3776,3,A,-1,4998,4,C,2,5472,4,C,0,4244,4,C,0,4528,4,C,1,4514,7,D,1,6364,7,D,0,5643,7,D,-2,90256,7,D,-1,4094,5,B,3,5915,3,A,3,1931,4,C,1,2437,7,D,3,3988,m,22,White,10,3,1,4
